# Created by Octave 3.6.3, Wed Aug 06 11:28:56 2014 CEST <maryna@Jeeves.local>
# name: E
# type: matrix
# rows: 17
# columns: 2
 0.1 0.01
 0.05 0.0025
 0.025 0.0006250000000000001
 0.0125 0.00015625
 0.00625 3.906250000000001e-05
 0.003125 9.765625000000002e-06
 0.0015625 2.44140625e-06
 0.00078125 6.103515625000001e-07
 0.000390625 1.52587890625e-07
 0.0001953125 3.814697265625001e-08
 9.765625000000001e-05 9.536743164062502e-09
 4.8828125e-05 2.384185791015625e-09
 2.44140625e-05 5.960464477539064e-10
 1.220703125e-05 1.490116119384766e-10
 6.103515625e-06 3.725290298461915e-11
 3.0517578125e-06 9.313225746154787e-12
 0 0


